SEA	165
DTW	145
ORD	135
BOS	127
MDW	124
LGA	121
EWR	121
JFK	119
MCO	118
ATL	111
CLT	108
TPA	106
IAH	99
SLC	92
DFW	76
SFO	59
SAN	38
LAX	34
PHX	32
LAS	24
BWI	6
