,AIRPORT_ID,AIRPORT,station_id,distance
154,10266,ALM,US1NMOT0023,2.613557108299455
155,10267,ALN,US1ILMD0008,4.554920671188165
156,10268,ALO,USW00094910,0.2906512122022453
157,10272,ALS,USW00023061,0.7102897313726086
158,10275,ALW,USW00024160,0.10430280795539741
159,10276,ALX,US1ALTP0016,0.03130044588102926
160,10278,ALZ,USC00505458,1.415547358217765
161,10279,AMA,USW00023047,1.5646639645600324
162,10285,AMK,US1COLP0080,4.83933795787937
163,10288,AMN,US1MIGR0003,7.035429539624314
164,10294,AMW,USW00094989,0.034843957230756666
165,10297,ANA,US1CAOR0028,4.7479575495228525
166,10298,ANB,USW00013871,0.24639689116864877
167,10299,ANC,USW00026451,1.6978646070153542
168,10300,AND,USW00093846,0.37362082962976206
169,10304,ANI,US1AKBC0003,0.4591637436477578
170,10307,ANN,USW00025308,0.6171405339191892
171,10309,ANP,US1MDAA0042,2.659764877310027
172,10313,ANV,None,999
173,10317,AOH,USW00004850,0.02092141113279426
174,10322,AOO,USW00014736,0.02545679360344792
175,10324,AOS,None,999
176,10325,APA,USW00093067,0.05732703683733926
177,10327,APC,USW00093227,0.4740413564666309
178,10329,APF,USW00012897,0.0419669154564208
179,10330,APG,USW00013701,0.6249516544284784
180,10333,APN,USW00094849,0.7768216506909684
181,10336,APT,USC00404596,2.9385168515235893
182,10337,APV,US1CASR0028,3.1334078515520574
183,10344,AQY,USC00500243,1.2656978713478877
184,10345,AR1,USW00053920,0.1960707975276559
185,10346,AR2,US1ARFK0001,2.411005451800565
186,10347,ARA,USC00166657,0.030886831426929426
187,10348,ARB,USW00094889,0.0992435423699263
188,10349,ARC,USC00500396,1.9238991115568822
189,10351,ARE,None,999
190,10352,ARG,USW00093991,1.209783374461296
191,10361,ART,USW00094790,0.09580107356887382
192,10363,ARV,USC00475516,4.630184912838422
193,10365,ARX,USW00004783,0.004661010446218852
194,10372,ASE,USW00093073,0.1284437891325019
195,10374,ASH,US1NHHL0016,3.2076394054367796
196,10378,ASL,USC00415618,4.589241128344641
197,10380,ASN,USW00073803,0.6415614952731531
198,10383,ASQ,None,999
199,10385,AST,USW00094224,0.3257238688088167
200,10388,ASX,USW00094929,0.0014983919214868358
201,10389,ASY,USC00320382,2.4769435950333953
202,10393,ATE,USC00340256,4.48026855720944
203,10396,ATK,None,999
204,10397,ATL,USW00013874,1.4859648360935476
205,10400,ATO,US1OHMS0002,4.097871152780311
206,10404,ATS,USW00053002,1.0208574375147679
207,10405,ATT,None,999
208,10406,ATU,USC00500452,0.5274709570533483
209,10408,ATW,US1WIWN0001,5.130068833612081
210,10409,ATY,USW00014946,1.1036886485340103
211,10414,AUG,USW00014605,0.005244860448999545
212,10416,AUK,None,999
213,10417,AUM,US1MNMW0003,1.7827431582519562
214,10418,AUN,US1CAPC0012,2.3774321216262098
215,10419,AUO,US1ALLE0012,3.1736205506995256
216,10423,AUS,USW00013904,1.5848889819570517
217,10424,AUW,USW00014897,0.10642232860019837
218,10427,AUZ,USW00004808,0.5303885556788935
219,10431,AVL,USW00003812,0.5552554712639934
220,10433,AVO,USC00080369,0.42644773608827213
221,10434,AVP,USW00014777,0.6043436260827286
222,10436,AVW,US1AZPM0107,7.536314332042842
223,10437,AVX,USW00023191,0.003091931606548842
224,10439,AWK,None,999
225,10440,AWM,USW00053959,0.004038615230787746
226,10442,AWX,USC00410248,2.8328999280156943
227,10445,AXB,USC00300077,2.2887072878316905
228,10449,AXN,USW00014910,0.1619326566281197
229,10451,AXS,US1OKJC0007,2.431569172887025
230,10454,AXV,US1OHAZ0004,1.5402761340499354
231,10455,AXX,USC00290407,3.023564699252689
232,10460,AYS,USW00013861,0.48535230175475597
233,10463,AZ1,USC00029007,1.8026223960528829
234,10464,AZ2,US1AZCN0003,6.9295239070962955
235,10465,AZ3,US1AZMR0011,4.564912684830756
236,10466,AZA,USW00023104,2.422406261421083
237,10469,AZO,USW00094815,0.034279172396557034
238,10471,B19,USC00170593,2.177031469312324
239,10472,B21,USC00175550,7.462387344767387
240,10474,BAB,USW00093216,2.1764988605615816
241,10476,BAD,USC00164367,0.4490344143093372
242,10478,BAF,USW00014775,0.03590373553744572
243,10484,BAM,USW00024119,2.014737623148524
244,10487,BAR,None,999
245,10494,BBC,US1TXMTG002,8.955980563027913
246,10495,BBF,USC00196783,5.081519545209017
247,10504,BBX,US1PAMT0078,1.880293636939761
248,10508,BCB,USC00440766,0.7274779028056453
249,10509,BCC,None,999
250,10511,BCE,USW00023159,0.020550843043154222
251,10514,BCJ,US1COSA0052,6.558859959814097
252,10518,BCS,USC00166585,4.2088814117241995
253,10519,BCT,USC00080845,0.4444345544022926
254,10523,BDE,USW00094961,1.5729113815104492
255,10524,BDG,USC00420738,3.31001246624065
256,10529,BDL,USW00014740,0.1370960693842033
257,10535,BDR,USW00094702,0.606044374327228
258,10538,BDY,US1ORCS0008,5.393567912005137
259,10540,BED,USW00014702,0.04189534204890484
260,10543,BEH,USC00200710,0.4704702691821447
261,10551,BET,USW00026615,0.8327157964586758
262,10556,BFB,None,999
263,10557,BFD,USW00004751,0.02533706469685106
264,10558,BFF,USW00024028,0.44539574097414664
265,10559,BFI,USW00024234,0.09211387784886965
266,10560,BFK,USW00093032,0.23368352730405825
267,10561,BFL,USW00023155,0.3288836529324163
268,10562,BFM,USW00013838,0.029936877666583803
269,10565,BFP,USC00366204,6.548851378826104
270,10567,BFR,US1INLW0014,2.7717572183221293
271,10569,BFT,US1SCBF0040,5.021462666439754
272,10572,BGD,USW00003024,0.6602361104401957
273,10573,BGE,USC00092593,0.6153328326487184
274,10577,BGM,USC00300684,0.6246780600009231
275,10580,BGQ,USC00500777,1.1129782907269063
276,10581,BGR,USC00170352,1.2133044167885367
277,10582,BGS,USW00023005,0.6602135625463125
278,10583,BGT,USC00020586,0.5708125632894032
279,10589,BHB,USC00178798,0.5584016540908848
280,10590,IFP,USC00021050,1.8364703383001622
281,10599,BHM,USW00013876,0.6952579324916869
282,10612,BIC,USC00507304,5.639991071232063
283,10613,BID,USW00094793,0.48589488946700987
284,10614,BIE,USC00250622,0.4165916927568075
285,10615,BIF,USW00023019,2.604482434633007
286,10616,BIG,USW00026415,0.06535948317564849
287,10617,BIH,USW00023157,0.5330104453312174
288,10620,BIL,USW00024033,0.10732116394083958
289,10627,BIS,USC00320818,1.0243578981232995
290,10629,BIX,USW00013820,1.0084864874743358
291,10630,BJC,US1COJF0296,1.8786300296691567
292,10631,BJI,USR0000MBEM,0.9736076776112255
293,10632,BJJ,USW00004842,0.22656810413853798
294,10640,BKC,None,999
295,10641,BKE,USW00024130,0.6214376648167077
296,10642,BKF,None,999
297,10643,BKG,USC00230887,0.7568163647727536
298,10644,BKH,USW00022501,1.1823240868172578
299,10647,BKL,USW00004853,0.07505451661294743
300,10654,BKW,USW00003872,0.4132768003432382
301,10655,BKX,US1SDBK0020,2.022232268860591
302,10661,BLD,USC00261071,3.854986873507021
303,10663,BLF,USW00003859,0.004192443110844192
304,10665,BLH,USW00023158,0.261656010223415
305,10666,BLI,USW00024217,0.12662591177670132
306,10670,BLM,USW00004783,0.756461151076948
307,10676,BLV,USW00013802,2.9793172298537423
308,10680,BMC,USC00420928,3.7309788913298725
309,10683,BMG,USC00120786,1.4236389508385792
310,10685,BMI,US1ILMCL037,1.786475500769831
311,10687,BML,USW00094700,0.23729729660530605
312,10692,BMX,None,999
313,10693,BNA,USW00003839,0.9809456797057379
314,10697,BNF,USC00500522,0.6620688282491924
315,10698,BNG,USC00041250,6.260782690053062
316,10701,BNL,US1SCBW0003,2.3550211208050444
317,10703,BNO,USW00094185,0.34628419061617705
318,10713,BOI,USC00101024,1.1277292956784584
319,10715,BOK,US1ORCY0008,1.4384760183419585
320,10721,BOS,USW00014739,0.44048007216651347
321,10722,BOW,USW00012809,0.7408416852997273
322,10728,BPT,USW00012917,0.026279513923850417
323,10731,BQK,USW00093836,1.019075898766217
324,10732,BQN,None,999
325,10735,BQV,USC00503294,0.9391525498429417
326,10739,BRD,USW00094938,0.2234136110181468
327,10741,BRG,USC00158633,1.0356475804010066
328,10744,BRL,USW00014931,0.021820050904093363
329,10747,BRO,USW00012919,1.2032805242203108
330,10754,BRW,USW00027502,0.48263074101980763
331,10756,BRY,USC00150389,3.3139443874397987
332,10763,BSM,USW00013904,1.3306160607417499
333,10765,BSQ,US1AZCH0048,5.856561357004162
334,10769,BSW,None,999
335,10770,A2K,USC00502692,2.0694537201246055
336,10775,BTI,USW00027401,2.376952569279172
337,10778,BTL,USW00014815,0.15302839835081009
338,10779,BTM,USC00241320,0.40947034690612844
339,10780,BTP,US1PABT0006,1.2513792472040444
340,10781,BTR,USW00013970,0.5478562567474291
341,10783,BTT,USS0051R01S,0.6800676374823573
342,10785,BTV,USW00014742,0.4836207591193236
343,10786,BTY,USC00266830,6.00525091979859
344,10792,BUF,US1NYER0102,0.9184351645589242
345,10796,BUM,USW00093995,1.2941355672729355
346,10800,BUR,USW00023152,0.10224011565328643
347,10809,BVD,None,999
348,10811,BVO,USC00340546,0.16768497664527104
